id,type,key,value
30236421,regular,crossing,zebra
30236421,regular,highway,crossing
30236493,regular,name,San Antonio
30236493,regular,network,Caltrain
30236493,regular,railway,station
30236493,regular,wikipedia,en:San Antonio (Caltrain station)
30236507,regular,highway,traffic_signals
30236612,regular,alt_name,Downtown Mountain View
30236612,regular,name,Mountain View
30236612,regular,network,Caltrain
30236612,regular,railway,station
30236612,regular,wikipedia,en:Downtown Mountain View Station
30237212,regular,exit_to,Foothill Expressway;Grant Road
30237212,regular,highway,motorway_junction
30237212,regular,ref,13
30237212,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf
30674096,regular,highway,traffic_signals
30674115,regular,exit_to,Magdelena Avenue
30674115,regular,highway,motorway_junction
30674115,regular,ref,15
30674115,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf
30674121,regular,exit_to,Magdalena Avenue
30674121,regular,highway,motorway_junction
30674121,regular,ref,15
30674121,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf
30675781,regular,highway,traffic_signals
30882055,regular,highway,traffic_signals
30882055,regular,source,bing;survey
31421261,regular,exit_to,Stevens Creek Boulevard
31421261,regular,highway,motorway_junction
31421261,regular,ref,18
31421261,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf
32351604,regular,highway,traffic_signals
32351604,regular,source,Bing
32789009,regular,exit_to,Dana Street;Whisman Road
32789009,regular,highway,motorway_junction
32789009,regular,ref,1C
32789009,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf
32789021,exit_to,left,SR-82 North;Mtn View;Los Altos
32789021,exit_to,right,SR-82 South;Los Gatos;SR-85 South;Santa Cruz
32789021,regular,highway,motorway_junction
32789021,regular,ref,1B
32789021,ref,left,1A
32789021,ref,right,1B
32789021,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf
32789037,regular,highway,traffic_signals
33260881,regular,highway,traffic_signals
33261972,regular,highway,traffic_signals
33343462,regular,highway,traffic_signals
33343463,regular,highway,traffic_signals
33343467,regular,highway,traffic_signals
33343473,regular,highway,traffic_signals
33343474,regular,highway,traffic_signals
33343489,regular,exit_to,US-101 North
33343489,regular,highway,motorway_junction
33343489,regular,ref,1A
33343489,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf
33343494,regular,exit_to,Evelyn Avenue
33343494,regular,highway,motorway_junction
33343494,regular,ref,1B
33343494,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf
33370357,regular,highway,traffic_signals
33375254,regular,highway,traffic_signals
33375254,regular,source,Bing
33784671,regular,exit_to,Fair Oaks Avenue
33784671,regular,highway,motorway_junction
33784671,regular,ref,395
34035919,regular,highway,traffic_signals
34035919,regular,source,Bing
49067107,regular,exit_to,Fremont Avenue
49067107,regular,highway,motorway_junction
49067107,regular,ref,20
49067107,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf
49071606,regular,exit_to,SR-85 North;Mountain View
49071606,regular,highway,motorway_junction
49071606,regular,ref,12A
49071606,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf
49071666,regular,created_by,JOSM
53787270,regular,highway,turning_circle
60006482,regular,highway,traffic_signals
60006493,regular,created_by,JOSM
60006494,regular,created_by,JOSM
65377483,regular,highway,turning_circle
65381269,regular,exit_to,Sunnyvale;Mathilda Avenue
65381269,regular,highway,motorway_junction
65381269,regular,ref,396A
65382597,regular,exit_to,Rengstorff Avenue
65382597,regular,highway,motorway_junction
65382597,regular,ref,400A
65382609,regular,highway,traffic_signals
65383026,regular,highway,traffic_signals
65383166,regular,highway,crossing
65385272,regular,highway,turning_circle
65385555,regular,highway,traffic_signals
65385699,regular,highway,turning_circle
65386023,regular,highway,motorway_junction
65386023,regular,noref,yes
65386032,regular,exit_to,SR-85 South;Cupertino;Santa Cruz
65386032,regular,highway,motorway_junction
65386032,regular,ref,398B
65387494,regular,highway,stop
65387496,regular,highway,traffic_signals
65388287,regular,highway,traffic_signals
65388609,regular,highway,traffic_signals
65388612,regular,highway,traffic_signals
65388612,regular,source,bing;survey
65388612,traffic_signals,direction,forward
65389683,regular,exit_to,Mountain View;Shoreline Blvd
65389683,regular,highway,motorway_junction
65389683,regular,ref,399
65391616,regular,exit_to,Fair Oaks Avenue North
65391616,regular,highway,motorway_junction
65391616,regular,ref,395A
65391668,regular,highway,turning_circle
65391682,regular,highway,turning_circle
65393813,regular,exit_to,Ellis Street;Moffett South Gate
65393813,regular,highway,motorway_junction
65393813,regular,ref,397
65393813,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/101.pdf
65393815,regular,highway,traffic_signals
65393818,regular,railway,level_crossing
65396646,regular,highway,crossing
65398474,regular,exit_to,San Antonio Road North
65398474,regular,highway,motorway_junction
65398474,regular,ref,400B
65400200,regular,highway,traffic_signals
65400935,regular,exit_to,Los Altos;San Antonio Road South
65400935,regular,highway,motorway_junction
65400935,regular,ref,400C
65400964,regular,highway,traffic_signals
65401403,regular,power,tower
65401407,regular,power,tower
65403721,regular,noexit,yes
65405940,regular,exit_to,Moffett Boulevard;NASA Parkway
65405940,regular,highway,motorway_junction
65405940,regular,ref,398A
65406866,regular,highway,traffic_signals
65407586,regular,access,no
65407586,regular,barrier,gate
65410347,regular,highway,traffic_signals
65410722,regular,highway,turning_circle
65411593,regular,highway,traffic_signals
65411633,regular,highway,traffic_signals
65412845,regular,power,tower
65412847,regular,power,tower
65414160,regular,highway,traffic_signals
65415228,regular,highway,turning_circle
65415573,regular,highway,turning_circle
65416106,regular,highway,turning_circle
65416106,regular,source,Yahoo
65416112,regular,highway,turning_circle
65416112,regular,source,Yahoo
65416352,regular,highway,turning_circle
65416587,regular,highway,turning_circle
65417858,regular,exit_to,Fair Oaks Avenue South
65417858,regular,highway,motorway_junction
65417858,regular,ref,395B
65418241,regular,highway,turning_circle
65418269,regular,highway,turning_circle
65418297,regular,highway,turning_circle
65418338,regular,highway,mini_roundabout
65418338,regular,traffic_calming,chicane
65418362,regular,highway,turning_circle
65418421,regular,highway,stop
65418721,regular,noexit,yes
65418734,regular,noexit,yes
65419742,regular,highway,turning_circle
65420012,regular,highway,turning_circle
65420532,regular,highway,turning_circle
65420552,regular,highway,turning_circle
65420620,regular,highway,turning_circle
65421581,regular,crossing,zebra
65421581,regular,highway,crossing
65421590,regular,highway,turning_circle
65421590,regular,source,Yahoo
65421635,regular,highway,stop
65421635,regular,source,bing;survey
65421733,regular,highway,turning_circle
65421989,regular,barrier,gate
65422045,regular,highway,turning_circle
65422093,regular,highway,turning_circle
65422265,regular,highway,turning_circle
65422506,regular,highway,turning_circle
65422580,regular,highway,traffic_signals
65422702,regular,highway,turning_circle
65422702,regular,source,bing;survey
65422928,regular,highway,turning_circle
65423024,regular,highway,turning_circle
65423079,regular,highway,turning_circle
65423163,regular,highway,turning_circle
65423321,regular,highway,traffic_signals
65423321,regular,surface,paved
65423325,regular,highway,traffic_signals
65423373,regular,highway,stop
65423373,regular,source,photograph
65423470,regular,highway,stop
65423528,regular,highway,turning_circle
65423597,regular,highway,turning_circle
65423636,regular,highway,turning_circle
65423639,regular,highway,turning_circle
65423691,regular,highway,stop
65423858,regular,highway,turning_circle
65423939,regular,highway,turning_circle
65424001,regular,highway,turning_circle
65424241,regular,highway,traffic_signals
65424250,regular,highway,traffic_signals
65424467,regular,highway,turning_circle
65424492,regular,noexit,yes
65424540,regular,highway,turning_circle
65424631,regular,highway,turning_circle
65424642,regular,highway,turning_circle
65424682,regular,highway,turning_circle
65424997,regular,COUNTYFP,085
65424997,regular,STATEFP,06
65424997,regular,Tiger:MTFCC,C3061
65424997,regular,highway,turning_circle
65424997,regular,source,Tiger2009
65425032,regular,highway,traffic_signals
65425050,regular,highway,traffic_signals
65425455,regular,highway,turning_circle
65425968,regular,highway,turning_circle
65425968,regular,source,bing;survey
65426211,regular,noexit,yes
65426399,regular,highway,turning_circle
65426561,regular,highway,traffic_signals
65426563,regular,highway,traffic_signals
65426597,regular,highway,turning_circle
65426599,regular,highway,turning_circle
65426648,regular,highway,turning_circle
65426734,regular,highway,traffic_signals
65426741,regular,highway,traffic_signals
65426743,regular,highway,traffic_signals
65426746,regular,highway,traffic_signals
65426751,regular,highway,traffic_signals
65426800,regular,highway,traffic_signals
65426806,regular,highway,turning_circle
65426806,regular,source,Yahoo
65427256,regular,highway,traffic_signals
65427295,regular,highway,turning_circle
65427377,regular,highway,turning_circle
65427603,regular,highway,stop
65427604,regular,highway,stop
65427605,regular,highway,stop
65427623,regular,highway,traffic_signals
65427873,regular,highway,turning_circle
65428162,regular,highway,turning_circle
65428679,regular,highway,turning_circle
65429401,regular,highway,turning_circle
65429439,regular,highway,turning_circle
65430024,regular,highway,turning_circle
65430026,regular,highway,turning_circle
65430108,regular,highway,traffic_signals
65430179,regular,highway,turning_circle
65430186,regular,highway,turning_circle
65430982,regular,highway,traffic_signals
65430985,regular,highway,traffic_signals
65430988,regular,highway,traffic_signals
65430993,regular,highway,traffic_signals
65431000,regular,highway,traffic_signals
65431004,regular,highway,traffic_signals
65431004,regular,source,Bing
65431046,regular,highway,traffic_signals
65431345,regular,highway,turning_circle
65431375,regular,highway,traffic_signals
65431390,regular,highway,traffic_signals
65431398,regular,highway,traffic_signals
65431401,regular,highway,traffic_signals
65431488,regular,highway,turning_circle
65431519,regular,highway,turning_circle
65431647,regular,highway,turning_circle
65432329,regular,highway,turning_circle
65432695,regular,highway,turning_circle
65432742,regular,highway,turning_circle
65433036,regular,highway,turning_circle
65433846,regular,highway,traffic_signals
65433897,regular,highway,traffic_signals
65433915,regular,COUNTYFP,085
65433915,regular,STATEFP,06
65433915,regular,Tiger:MTFCC,C3061
65433915,regular,highway,turning_circle
65433915,regular,source,Tiger2009
65434169,regular,highway,turning_circle
65434203,regular,highway,turning_circle
65434481,regular,highway,turning_circle
65434964,regular,highway,traffic_signals
65435058,regular,highway,stop
65435130,regular,highway,stop
65435402,regular,highway,turning_circle
65435402,regular,surface,paved
65435440,regular,highway,turning_circle
65435441,regular,highway,turning_circle
65435468,regular,highway,turning_circle
65435727,regular,highway,turning_circle
65435818,regular,highway,turning_circle
65435866,regular,highway,turning_circle
65435873,regular,highway,turning_circle
65435915,regular,surface,asphalt
65436030,regular,highway,turning_circle
65436256,regular,highway,turning_circle
65436278,regular,highway,turning_circle
65436528,regular,highway,turning_circle
65436592,regular,highway,turning_circle
65436734,regular,highway,traffic_signals
65436738,regular,highway,traffic_signals
65436756,regular,highway,traffic_signals
65436760,regular,highway,traffic_signals
65436849,regular,highway,turning_circle
65437033,regular,highway,traffic_signals
65437595,regular,highway,turning_circle
65437631,regular,highway,turning_circle
65437862,regular,COUNTYFP,085
65437862,regular,STATEFP,06
65437862,regular,Tiger:MTFCC,C3061
65437862,regular,highway,turning_circle
65437862,regular,source,Tiger2009
65438360,regular,highway,traffic_signals
65438741,regular,highway,turning_circle
65440248,regular,highway,turning_circle
65440273,regular,highway,stop
65440273,regular,stop,both
65440301,regular,highway,turning_circle
65441524,regular,highway,traffic_signals
65441526,regular,highway,traffic_signals
65441652,regular,highway,turning_circle
65441874,regular,highway,turning_circle
65442371,regular,highway,turning_circle
65442410,regular,highway,turning_circle
65442575,regular,highway,turning_circle
65442668,regular,highway,turning_circle
65442754,regular,highway,turning_circle
65443013,regular,highway,turning_circle
65443637,regular,highway,turning_circle
65444188,regular,highway,turning_circle
65444496,regular,highway,turning_circle
65444673,regular,highway,turning_circle
65444679,regular,highway,turning_circle
65444692,regular,highway,turning_circle
65444856,regular,highway,turning_circle
65444865,regular,noexit,yes
65445267,regular,highway,turning_circle
65445277,regular,highway,turning_circle
65445289,regular,highway,mini_roundabout
65445318,regular,highway,turning_circle
65445357,regular,highway,turning_circle
65445375,regular,highway,traffic_signals
65445792,regular,noexit,yes
65446020,regular,highway,turning_circle
65446357,regular,highway,mini_roundabout
65446446,regular,highway,turning_circle
65446532,regular,highway,turning_circle
65446827,regular,highway,turning_circle
65447079,regular,highway,turning_circle
65447701,regular,highway,turning_circle
65447707,regular,highway,turning_circle
65447909,regular,highway,traffic_signals
65449056,regular,highway,turning_circle
65449474,regular,highway,traffic_signals
65449613,regular,highway,traffic_signals
65449648,regular,highway,traffic_signals
65449680,regular,highway,traffic_signals
65449682,regular,highway,traffic_signals
65450173,regular,highway,turning_circle
65450293,regular,noexit,yes
65450299,regular,highway,mini_roundabout
65450392,regular,noexit,yes
65450564,regular,highway,turning_circle
65450564,regular,surface,paved
65450608,regular,highway,turning_circle
65450608,regular,surface,paved
65450828,regular,highway,turning_circle
65450831,regular,highway,turning_circle
65450847,regular,highway,turning_circle
65450920,regular,highway,traffic_signals
65451036,regular,highway,turning_circle
65451036,regular,lanes,2
65451036,regular,surface,asphalt
65451718,regular,highway,turning_circle
65451896,regular,highway,turning_circle
65452428,regular,highway,turning_circle
65452666,regular,highway,turning_circle
65453096,regular,highway,turning_circle
65453218,regular,highway,turning_circle
65453317,regular,highway,turning_circle
65453352,regular,noexit,yes
65453423,regular,highway,turning_circle
65453502,regular,highway,traffic_signals
65453536,regular,highway,traffic_signals
65453605,regular,highway,turning_circle
65454025,regular,highway,stop
65454282,regular,COUNTYFP,085
65454282,regular,STATEFP,06
65454282,regular,Tiger:MTFCC,C3061
65454282,regular,highway,turning_circle
65454282,regular,source,Tiger2009
65454450,regular,highway,turning_circle
65454493,regular,highway,turning_circle
65454585,regular,highway,turning_circle
65454596,regular,highway,turning_circle
65454955,regular,highway,turning_circle
65455579,regular,highway,turning_circle
65455614,regular,highway,turning_circle
65456056,regular,noexit,yes
65456590,regular,highway,turning_circle
65456718,regular,highway,turning_circle
65456820,regular,highway,turning_circle
65456914,regular,highway,stop
65457012,regular,highway,turning_circle
65457042,regular,highway,turning_circle
65457447,regular,barrier,gate
65457447,regular,bicycle,no
65457447,regular,foot,yes
65457449,regular,highway,turning_circle
65457504,regular,highway,turning_circle
65457508,regular,highway,turning_circle
65457522,regular,highway,turning_circle
65457526,regular,highway,turning_circle
65457732,regular,highway,turning_circle
65457738,regular,highway,traffic_signals
65458004,regular,highway,turning_circle
65458016,regular,highway,turning_circle
65458365,regular,highway,stop
65458530,regular,highway,turning_circle
65458532,regular,highway,turning_circle
65458768,regular,highway,traffic_signals
65458885,regular,highway,turning_circle
65458919,regular,highway,turning_circle
65458921,regular,highway,stop
65458921,regular,source,bing;survey
65459359,regular,highway,turning_circle
65459362,regular,highway,turning_circle
65459559,regular,highway,turning_circle
65459601,regular,highway,turning_circle
65459676,regular,highway,turning_circle
65459761,regular,highway,turning_circle
65459764,regular,highway,turning_circle
65460129,regular,highway,mini_roundabout
65460175,regular,highway,turning_circle
65460269,regular,highway,traffic_signals
65460270,regular,highway,traffic_signals
65460864,regular,highway,turning_circle
65460866,regular,highway,turning_circle
65461056,regular,highway,turning_circle
65461341,regular,highway,stop
65461341,regular,source,bing;survey
65461391,regular,highway,turning_circle
65461487,regular,highway,turning_circle
65461657,regular,highway,turning_circle
65461861,regular,highway,turning_circle
65461933,regular,highway,turning_circle
65461947,regular,highway,turning_circle
65462463,regular,highway,turning_circle
65462463,regular,source,Yahoo
65462521,regular,highway,turning_circle
65462574,regular,highway,turning_circle
65462654,regular,highway,turning_circle
65462735,regular,highway,turning_circle
65462772,regular,highway,turning_circle
65462777,regular,highway,turning_circle
65462786,regular,highway,turning_circle
65463248,regular,noexit,yes
65463453,regular,highway,turning_circle
65463801,regular,highway,turning_circle
65463818,regular,highway,turning_circle
65464427,regular,highway,turning_circle
65464507,regular,highway,turning_circle
65464507,regular,source,Yahoo
65465168,regular,highway,turning_circle
65465215,regular,highway,turning_circle
65465280,regular,highway,stop
65465344,regular,highway,turning_circle
65465348,regular,highway,turning_circle
65465784,regular,highway,turning_circle
65466143,regular,highway,turning_circle
65466146,regular,highway,turning_circle
65466164,regular,highway,turning_circle
65466358,regular,highway,turning_circle
65466396,regular,highway,turning_circle
65466819,regular,highway,turning_circle
65466948,regular,highway,stop
65466957,regular,highway,stop
65466965,regular,highway,roundabout
65466967,regular,highway,roundabout
65467390,regular,highway,traffic_signals
65467611,regular,noexit,yes
65467702,regular,highway,turning_circle
65468064,regular,highway,turning_circle
65468154,regular,highway,turning_circle
65470267,regular,highway,traffic_signals
65470275,regular,highway,turning_circle
65470311,regular,noexit,yes
65470361,regular,highway,turning_circle
65470426,regular,highway,turning_circle
65470450,regular,highway,turning_circle
65470517,regular,highway,turning_circle
65470603,regular,highway,turning_circle
65470805,regular,noexit,yes
65471078,regular,highway,traffic_signals
65471080,regular,highway,traffic_signals
65471080,regular,source,Yahoo
65471084,regular,highway,traffic_signals
65471456,regular,noexit,yes
65471826,regular,highway,turning_circle
65472040,regular,highway,turning_circle
65472044,regular,highway,turning_circle
65472058,regular,highway,traffic_signals
65472091,regular,highway,turning_circle
65472095,regular,noexit,yes
65472861,regular,highway,turning_circle
65472879,regular,highway,turning_circle
65473768,regular,highway,turning_circle
65473823,regular,highway,turning_circle
65473827,regular,highway,turning_circle
65473831,regular,highway,mini_roundabout
65474265,regular,highway,turning_circle
65474501,regular,highway,turning_circle
65474590,regular,highway,turning_circle
65474834,regular,highway,turning_circle
65475381,regular,highway,turning_circle
65475710,regular,highway,turning_circle
65475721,regular,highway,turning_circle
65475859,regular,highway,turning_circle
65475898,regular,highway,turning_circle
65475905,regular,highway,stop
65475914,regular,highway,stop
65476817,regular,highway,turning_circle
65476831,regular,highway,turning_circle
65477641,regular,railway,level_crossing
65477660,regular,railway,level_crossing
65479328,regular,railway,level_crossing
65479335,regular,railway,level_crossing
65480019,regular,highway,turning_circle
65480623,regular,highway,turning_circle
65480627,regular,highway,turning_circle
65480631,regular,highway,turning_circle
65481774,regular,highway,turning_circle
65481774,regular,source,bing
65481791,regular,highway,turning_circle
65482191,regular,highway,stop
65482194,regular,highway,traffic_signals
65482454,regular,highway,turning_circle
65482505,regular,highway,turning_circle
65482507,regular,highway,turning_circle
65482541,regular,highway,turning_circle
65482638,regular,highway,traffic_signals
65482640,regular,highway,turning_circle
65482809,regular,highway,turning_circle
65482880,regular,highway,turning_circle
65484887,regular,highway,turning_circle
65485606,regular,highway,turning_circle
65485608,regular,highway,turning_circle
65485960,regular,highway,turning_circle
65485962,regular,highway,turning_circle
65486137,regular,highway,turning_circle
65487162,regular,highway,turning_circle
65487169,regular,highway,turning_circle
65487296,regular,highway,turning_circle
65487322,regular,highway,turning_circle
65487409,regular,highway,turning_circle
65487422,regular,COUNTYFP,085
65487422,regular,STATEFP,06
65487422,regular,Tiger:MTFCC,C3061
65487422,regular,highway,turning_circle
65487422,regular,source,Tiger2009
65487729,regular,highway,turning_circle
65487834,regular,highway,turning_circle
65488100,regular,highway,turning_circle
65488108,regular,highway,turning_circle
65488338,regular,stop,both
65488460,regular,highway,turning_circle
65488513,regular,highway,turning_circle
65488700,regular,highway,turning_circle
65488988,regular,highway,turning_circle
65489087,regular,highway,turning_circle
65489208,regular,highway,turning_circle
65489297,regular,highway,turning_circle
65489661,regular,highway,turning_circle
65490004,regular,highway,turning_circle
65490040,regular,highway,mini_roundabout
65490173,regular,highway,turning_circle
65490839,regular,highway,turning_circle
65491153,regular,highway,turning_circle
65491502,regular,highway,turning_circle
65491532,regular,highway,turning_circle
65491707,regular,highway,turning_circle
65492020,regular,highway,stop
65492020,regular,stop,both
65492025,regular,highway,turning_circle
65492098,regular,highway,turning_circle
65492098,regular,source,bing
65492111,regular,highway,turning_circle
65492119,regular,highway,turning_circle
65492200,regular,highway,turning_circle
65492350,regular,highway,turning_circle
65492362,regular,highway,turning_circle
65492412,regular,highway,turning_circle
65492582,regular,highway,turning_circle
65493156,regular,highway,turning_circle
65493156,regular,source,Yahoo
65493769,regular,highway,stop
65493776,regular,highway,traffic_signals
65494023,regular,highway,turning_circle
65494071,regular,highway,turning_circle
65495319,regular,highway,traffic_signals
65495319,traffic_signals,direction,forward
65495674,regular,barrier,gate
65495675,regular,noexit,yes
65495741,regular,highway,traffic_signals
65495760,regular,highway,traffic_signals
65495774,regular,highway,traffic_signals
65495776,regular,highway,traffic_signals
65495776,regular,source,photograph
65495782,regular,highway,traffic_signals
65495783,regular,highway,traffic_signals
65495900,regular,highway,turning_circle
65496053,regular,highway,turning_circle
65496228,regular,highway,traffic_signals
65496396,regular,highway,turning_circle
65496632,regular,highway,turning_circle
65496636,regular,highway,turning_circle
65496717,regular,highway,turning_circle
65496734,regular,highway,turning_circle
65496789,regular,highway,stop
65496795,regular,highway,stop
65496802,regular,traffic_calming,hump
65497105,regular,traffic_calming,table
65497176,regular,highway,turning_circle
65497195,regular,highway,traffic_signals
65497329,regular,highway,turning_circle
65497437,regular,highway,turning_circle
65497855,regular,highway,turning_circle
65498221,regular,highway,traffic_signals
65498402,regular,highway,turning_circle
65498588,regular,highway,turning_circle
65498718,regular,highway,turning_circle
65498905,regular,highway,turning_circle
65499114,regular,highway,turning_circle
65499517,regular,highway,turning_circle
65499696,regular,highway,turning_circle
65500012,regular,highway,turning_circle
65500015,regular,highway,turning_circle
65500017,regular,highway,turning_circle
65500038,regular,highway,turning_circle
65500038,regular,source,Yahoo
65501154,regular,noexit,yes
65501235,regular,highway,stop
65501235,regular,source,Bing
65501287,regular,highway,turning_circle
65501437,regular,highway,turning_circle
65501479,regular,highway,turning_circle
65501569,regular,highway,turning_circle
65501806,regular,highway,mini_roundabout
65502001,regular,highway,turning_circle
65502143,regular,highway,turning_circle
65502206,regular,highway,turning_circle
65502893,regular,highway,turning_circle
65502973,regular,highway,turning_circle
65503027,regular,highway,turning_circle
65503157,regular,highway,traffic_signals
65503167,regular,highway,traffic_signals
65503179,regular,highway,traffic_signals
65503558,regular,highway,turning_circle
65503619,regular,highway,turning_circle
65503622,regular,COUNTYFP,085
65503622,regular,STATEFP,06
65503622,regular,Tiger:MTFCC,C3061
65503622,regular,highway,turning_circle
65503622,regular,source,Tiger2009
65503629,regular,highway,turning_circle
65503779,regular,highway,turning_circle
65503802,regular,highway,turning_circle
65503920,regular,highway,turning_circle
65503946,regular,highway,mini_roundabout
65504108,regular,highway,turning_circle
65504169,regular,highway,turning_circle
65504721,regular,highway,turning_circle
65504854,regular,highway,turning_circle
65504873,regular,highway,turning_circle
65505077,regular,highway,turning_circle
65505086,regular,highway,turning_circle
65505106,regular,highway,turning_circle
65505135,regular,highway,turning_circle
65505139,regular,highway,turning_circle
65505346,regular,highway,traffic_signals
65505438,regular,noexit,yes
65505532,regular,highway,turning_circle
65505642,regular,highway,turning_circle
65505660,regular,highway,turning_circle
65505838,regular,highway,turning_circle
65506066,regular,highway,turning_circle
65506071,regular,highway,turning_circle
65506415,regular,highway,traffic_signals
65506428,regular,highway,stop
65506951,regular,highway,turning_circle
65507013,regular,highway,turning_circle
65507450,regular,highway,turning_circle
65507454,regular,highway,turning_circle
65507597,regular,highway,turning_circle
65508067,regular,highway,turning_circle
65508176,regular,highway,turning_circle
65508235,regular,noexit,yes
65508924,regular,highway,turning_circle
65509050,regular,highway,turning_circle
65509069,regular,highway,turning_circle
65509095,regular,highway,traffic_signals
65509184,regular,highway,turning_circle
65509255,regular,highway,turning_circle
65509347,regular,highway,turning_circle
65509355,regular,highway,turning_circle
65509618,regular,highway,turning_circle
